spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
-23.9727,-21.8076,-137.53,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.0592354,26.3035
-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.13743,26.301
-23.9727,-21.8076,-137.53,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.0592354,26.3035
-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.13743,26.301
-23.9727,-21.8076,-137.53,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0110062,26.293
-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0147516,26.2649
-23.9727,-21.8076,-137.53,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.0592354,26.3035
-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.13743,26.301
-23.9727,-21.8076,-137.53,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0110062,26.293
-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0147516,26.2649
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,599.983,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,599.975,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-127.202,-115.579,-842.6,399.978,26.3048
-23.9727,-21.8076,-137.53,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.0592354,26.3035
-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.13743,26.301
-23.9727,-21.8076,-137.53,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0110062,26.293
-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0147516,26.2649
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,599.983,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,599.975,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-127.202,-115.579,-842.6,399.978,26.3048
-23.9727,-21.8076,-137.53,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.0592354,26.3035
-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.13743,26.301
-23.9727,-21.8076,-137.53,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0110062,26.293
-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0147516,26.2649
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,599.983,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,599.975,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-127.202,-115.579,-842.6,399.978,26.3048
34.1317,-59.9132,-30.1171,56.2943,-98.8827,-66.8025,84.2599,-148.012,-113.045,-0.0808064,26.308
-23.9727,-21.8076,-137.53,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.0592354,26.3035
-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.13743,26.301
-23.9727,-21.8076,-137.53,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0110062,26.293
-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0147516,26.2649
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,599.983,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,599.975,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-127.202,-115.579,-842.6,399.978,26.3048
34.1317,-59.9132,-30.1171,56.2943,-98.8827,-66.8025,84.2599,-148.012,-113.045,-0.0808064,26.308
19.9213,24.9871,-33.7564,42.1912,52.9433,-100.93,71.8997,90.2748,-190.585,400,26.3023
19.9213,24.9871,-33.7564,42.1912,52.9433,-100.93,70.7844,88.883,-187.226,399.997,26.3023
-23.9727,-21.8076,-137.53,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.0592354,26.3035
-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.13743,26.301
-23.9727,-21.8076,-137.53,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0110062,26.293
-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0147516,26.2649
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,599.983,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,599.975,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-127.202,-115.579,-842.6,399.978,26.3048
34.1317,-59.9132,-30.1171,56.2943,-98.8827,-66.8025,84.2599,-148.012,-113.045,-0.0808064,26.308
19.9213,24.9871,-33.7564,42.1912,52.9433,-100.93,71.8997,90.2748,-190.585,400,26.3023
19.9213,24.9871,-33.7564,42.1912,52.9433,-100.93,70.7844,88.883,-187.226,399.997,26.3023
19.9213,24.9871,-33.7564,43.0777,54.0627,-103.613,70.7844,88.883,-187.226,399.995,26.3017
19.9213,24.9871,-33.7564,43.0777,54.0627,-103.613,71.8997,90.2748,-190.585,399.991,26.3017
-23.9727,-21.8076,-137.53,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.0592354,26.3035
-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.13743,26.301
-23.9727,-21.8076,-137.53,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0110062,26.293
-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,-127.202,-115.579,-842.6,-0.0147516,26.2649
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,599.983,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-94.9942,-86.3345,-622.6,599.975,26.3048
-23.9727,-21.8076,-137.53,-50.8052,-46.183,-320.795,-127.202,-115.579,-842.6,399.978,26.3048
34.1317,-59.9132,-30.1171,56.2943,-98.8827,-66.8025,84.2599,-148.012,-113.045,-0.0808064,26.308
19.9213,24.9871,-33.7564,42.1912,52.9433,-100.93,71.8997,90.2748,-190.585,400,26.3023
19.9213,24.9871,-33.7564,42.1912,52.9433,-100.93,70.7844,88.883,-187.226,399.997,26.3023
19.9213,24.9871,-33.7564,43.0777,54.0627,-103.613,70.7844,88.883,-187.226,399.995,26.3017
19.9213,24.9871,-33.7564,43.0777,54.0627,-103.613,71.8997,90.2748,-190.585,399.991,26.3017
17.8367,26.6231,60.4024,37.9647,56.6538,98.8623,63.4424,94.7225,147.609,399.975,26.311
18.7164,27.9473,62.0861,37.9647,56.6538,98.8623,63.4424,94.7225,147.609,399.956,26.296
-23.9727,-21.8076,-137.53,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.0592354,26.3035
-50.8052,-46.183,-320.795,-109.649,-99.6108,-722.6,-127.202,-115.579,-842.6,-0.13743,26.301
