sp_x, sp_y, sp_z

Event: 0
-127.194,-115.573,-842.6
14.5131,-131.401,-842.6
21.5338,-153.366,-842.6
66.9331,-146.838,-843.8
-109.649,-99.6108,-722.6
18.2709,-131.118,-722.6
18.5075,-131.883,-722.6
57.1451,-125.355,-723.8
57.0491,-125.162,-722.6
-95.0022,-86.3413,-622.6
16.01,-113.976,-622.6
48.9918,-107.486,-623.8
48.9005,-107.248,-622.6
32.9569,-6.38517,123.277
-21.416,-23.8141,-183.817
-23.9727,-21.8076,-137.55
-25.6026,-20.5285,-86.2618
-20.944,-24.1845,-76.075
-23.0287,-22.5485,-19.7591
-10.7207,-30.1834,12.6915
-16.0311,-28.6983,42.825
-9.32431,-30.5739,60.3317
4.47554,-31.6473,-162.405
13.2829,-29.1934,-186.108
4.83011,-33.9515,-174.911
18.7293,-26.1276,16.9067
23.4436,-21.888,-90.9137
26.7157,-17.7187,-13.175
24.2771,-20.826,-0.322308
19.388,-27.0558,16.2058
27.0244,-17.3253,73.6941
29.9949,-11.3949,-37.025
27.9914,-18.5585,-12.6921
30.1529,-10.83,29.1037
29.2198,-14.1663,29.575
30.2989,-10.3078,30.3962
29.5009,-13.161,31.325
29.1843,-14.2931,36.8371
30.2869,-10.3508,40.8234
29.1396,-14.4531,50.7345
28.1381,-18.0342,74.1405
31.4762,-6.0981,120.536
18.702,25.944,-125.16
20.472,24.5549,-74.075
19.9213,24.9871,-33.7519
17.8367,26.6231,60.4099
19.901,27.616,-124.286
4.74983,31.8533,12.4695
10.0947,30.3585,37.2381
18.722,27.9457,62.1014
1.61737,32.382,-140.602
1.63023,32.3835,-118.909
4.37667,32.7147,-91.8413
-7.0072,31.342,-19.625
0.62884,32.2628,-11.7647
4.87057,32.7743,11.6683
-9.36809,31.3971,-103.951
-7.27009,32.5781,-19.3623
-17.335,26.9124,90.4674
-27.2405,17.05,-37.225
-23.6906,21.5734,-31.625
-21.6673,24.1515,-7.14771
-20.405,25.7599,17.425
-25.5736,19.174,68.8621
-26.9912,17.3676,79.6533
-27.1048,17.2229,79.7027
-26.3762,18.1513,80.1503
-18.3124,28.4264,93.3117
-28.2442,17.6547,-37.6035
-29.0522,14.7655,67.175
-27.4228,20.592,70.9818
-31.3609,-6.85038,-9.71001
-31.2343,-7.90073,18.2526
-32.6629,-7.1194,-9.15207
-32.1101,-8.10142,19.4076
-19.8898,66.4889,-236.66
-42.0631,53.1091,20.3958
-37.0159,57.439,147.911
-50.196,45.6919,-34.025
-45.9052,51.1592,17.8625
-43.2342,54.5628,20.575
-57.6257,36.047,-48.8472
-60.3379,30.695,71.925
-54.9812,41.2651,102.231
-61.5443,31.2868,72.125
-66.4854,-14.4981,5.18764
-65.801,-16.589,63.8966
-52.8486,-42.3667,-146.604
-50.8052,-46.183,-320.804
-45.3379,-50.4738,-234.27
-54.2272,-43.4975,-149.681
-48.7992,-47.7573,-82.9442
-44.3545,-51.2455,-75.475
-33.0588,-59.14,49.275
-22.7113,-63.9426,-17.7114
-33.9833,-60.7902,49.625
-19.7302,-64.7763,157.85
-20.1997,-66.3492,162.336
9.58174,-68.0948,-366.114
28.1508,-61.8387,-368.574
34.1317,-59.9132,-30.1383
39.5584,-55.2578,-5.20745
49.6485,-46.3895,-106.879
51.4307,-44.1185,-41.7461
52.9019,-45.3683,-43.9776
56.812,-37.6525,-2.06752
57.2964,-36.6966,85.975
63.5442,-24.1359,-45.425
61.7241,-30.6437,37.3869
66.9041,-12.9457,185.664
42.1912,52.9433,-100.933
43.4105,51.9863,-71.225
40.0478,55.5981,-109.697
43.0811,54.061,-103.613
44.5209,53.3313,-71.125
37.9647,56.6538,98.8714
21.4156,64.3049,62.5496
9.00721,67.2054,-107.865
10.0043,67.1291,-17.8922
3.36765,68.593,-142.725
3.46693,68.605,-96.8022
1.3249,68.3467,5.04893
-19.3926,64.8833,-230.532
-14.7833,66.3921,-11.625
35.8725,107.909,95.0278
15.2058,113.353,-129.309
5.70576,113.361,-69.4831
16.9058,113.352,-57.6584
5.64436,114.868,-145.475
1.72952,114.396,-132.675
5.80003,114.886,-68.5486
2.18793,114.451,26.5451
-32.6187,108.867,-396.912
-24.9185,111.78,-1.225
-33.1412,110.616,-403.509
-62.1375,96.3869,221.183
-70.527,88.9669,24.3091
-71.5105,90.2138,24.425
-76.223,84.9032,49.151
-84.5647,77.0294,-37.093
-96.3748,60.3004,-63.6536
-91.8366,68.9299,144.064
-101.626,51.7025,78.225
-111.971,-24.4138,24.4865
-110.654,-27.8954,123.16
-89.6902,-71.9751,-228.309
-81.2382,-79.4754,-162.451
-76.4126,-84.9913,-299.678
-82.5418,-80.753,-165.631
-74.6283,-86.2251,-74.675
-55.8988,-100.03,57.925
-33.0573,-108.606,282.823
-38.1052,-107.357,-56.7743
-33.5226,-110.111,287.144
56.2888,-98.8865,-66.8055
66.3322,-92.6769,-33.6166
83.74,-78.2221,-127.652
86.5236,-74.1966,-95.3282
94.9895,-62.9347,12.025
95.8163,-61.3625,101.613
102.034,-50.6276,20.8464
106.757,-40.5321,-56.2624
111.574,-21.5617,267.737
113.348,-21.9058,270.984
70.7946,88.8759,-187.218
72.958,87.38,-67.575
71.8949,90.2773,-190.56
66.9056,92.9012,-90.2515
63.4424,94.7225,147.619
105.878,132.94,-293.08
109.232,130.815,-63.075
99.7679,138.436,-66.4886
94.546,141.182,207.122
53.4491,160.834,134.491
53.9589,162.388,135.634
22.7058,168.944,-155.147
25.2058,168.942,-105.497
8.31473,170.166,-148.775
8.61265,170.19,-34.7595
3.25624,169.762,52.3332
-36.9906,165.766,11.125
-92.6277,143.643,310.102
-105.887,133.643,29.175
-113.186,126.057,87.2596
-114.226,127.223,88.3427
-126.013,114.842,-40.825
-136.084,102.188,194.316
-144.166,90.2746,-81.9386
-151.46,77.0727,85.825
-166.882,-36.3923,47.7839
-164.938,-41.5309,194.858
-132.277,-106.178,-322.737
-133.664,-107.285,-325.785
-113.412,-126.112,-377.587
-122.201,-119.496,-262.776
-114.577,-127.429,-380.07
-111.766,-129.21,-73.725
-82.8628,-148.339,68.1574
-56.8153,-160.002,-104.181
-49.7097,-163.082,438.19
84.2599,-148.012,-113.045
98.8219,-138.164,-68.1448
128.927,-110.628,-160.075
124.775,-116.632,-152.669
142.284,-94.233,29.4581
143.436,-91.8099,120.93
152.082,-75.437,0.295605
158.512,-60.0201,-70.4608
158.478,-60.1349,-69.2704
158.58,-59.7859,-67.425
160.029,-60.7208,-69.603
160.408,-58.8703,-68.2504
167.774,-32.3876,371.01
73.969,-531.512,-2952.5
-435.09,-394.394,-2942.5
238.879,-522.227,-2942.5
-378.736,-343.377,-2557.5
63.9491,-458.996,-2552.5
206.653,-452.109,-2552.5
-326.939,-296.699,-2207.5
55.3904,-397.181,-2202.5
178.192,-389.897,-2202.5
-175.772,583.722,-2192.5
-274.182,-248.776,-1842.5
46.3797,-332.865,-1842.5
148.509,-325.225,-1842.5
-134.134,417.701,-1852.5
-148.431,493.159,-1852.5
-229.688,-208.516,-1542.5
38.9638,-278.066,-1542.5
123.955,-271.695,-1542.5
-124.455,413.905,-1552.5
-104.005,346.135,-1292.5
-193.214,-175.491,-1292.5
103.467,-226.883,-1292.5
383.46,-519.698,-1292.5
13.1259,258.016,18.6
4.89442,259.26,93.5
12.5327,258.106,-153.5
-57.3225,256.681,31.8
-74.4991,248.243,-924.3
-74.4991,248.243,-921.4
-72.9453,248.5,-919
-162.612,205.27,36.6
-139.974,217.007,447.8
-193.687,176.592,-47.4
-172.62,192.127,148.7
-207.343,155.868,275.7
-223.14,139.846,-112.7
-231.705,117.977,98.3
-218.26,136.76,-110.3
-256.69,-56.0476,86.3
-256.63,-64.5974,315.9
-250.155,-62.9564,307.5
-204.441,-164.21,-482.6
-175.524,-195.136,-508.3
