cluster_index, module_index, channel0, channel1

Event: 0
0,279,210,1335
1,339,224,861
2,399,237,465
2,399,237,466
3,457,140,137
3,457,140,138
3,457,140,139
3,457,140,140
3,457,140,141
3,457,140,142
3,457,140,143
3,457,140,144
3,457,140,145
3,457,140,146
3,457,140,147
3,457,140,148
3,457,140,149
4,542,245,767
4,542,245,768
4,542,245,769
4,542,245,770
4,542,245,771
4,542,245,772
5,543,297,1201
5,543,298,1202
5,543,298,1203
6,557,40,1235
6,557,39,1236
6,557,40,1236
6,557,39,1237
7,804,330,801
8,832,67,806
8,832,67,807
8,832,68,807
9,832,103,823
9,832,103,824
9,832,103,825
9,832,103,826
9,832,103,827
9,832,103,828
9,832,108,828
9,832,109,828
9,832,103,829
9,832,104,829
9,832,106,829
9,832,107,829
9,832,108,829
9,832,104,830
9,832,105,830
9,832,106,830
9,832,103,831
9,832,104,831
9,832,101,832
9,832,102,832
9,832,104,832
9,832,100,833
9,832,101,833
9,832,104,833
9,832,104,834
9,832,104,835
10,934,70,841
10,934,70,842
10,934,70,843
11,1017,328,874
11,1017,328,875
11,1017,328,876
11,1017,328,877
11,1017,328,878
12,1031,58,821
12,1031,58,822
12,1031,58,823
12,1031,58,824
12,1031,58,825
13,1034,173,520
13,1034,173,521
13,1034,173,522
13,1034,173,523
14,1634,243,108
14,1634,243,109
15,1786,299,598
15,1786,299,599
15,1786,299,600
15,1786,299,601
15,1786,299,602
16,1800,20,532
16,1800,20,533
16,1800,20,534
16,1800,20,535
16,1800,20,536
16,1800,20,537
17,1805,211,45
17,1805,211,46
17,1805,211,47
18,1868,229,1383
18,1868,229,1384
18,1868,229,1385
18,1868,229,1386
18,1868,229,1387
19,1889,236,1234
19,1889,236,1235
19,1889,236,1236
20,2697,135,631
20,2697,135,632
20,2697,135,633
21,3435,269,35
22,3518,206,98
23,3644,223,41
24,3729,324,107
25,3855,363,54
25,3855,364,54
26,3855,336,58
27,3981,345,17
28,4674,228,69
29,4849,240,27
29,4849,240,28
30,4861,114,18
31,4861,113,21
31,4861,114,21
31,4861,113,22
32,4861,95,23
32,4861,96,23
32,4861,97,23
32,4861,98,23
33,5807,302,89
34,5829,29,3
34,5829,30,3
35,6077,186,44
36,6089,114,23
37,6179,250,3
38,6195,256,60
39,7423,89,88
39,7423,90,88
40,7961,224,20
41,9543,319,66
42,9564,46,70
43,11402,115,0
44,11403,112,0
45,11498,128,0
46,11499,125,0
47,11896,53,0
48,11897,53,0
49,13754,92,0
50,13755,92,0
51,14548,150,0
51,14548,151,0
52,14549,151,0
52,14549,152,0
53,16986,247,0
54,16987,258,0

Event: 1
0,458,43,480
0,458,43,481
0,458,44,481
0,458,44,482
1,458,271,581
1,458,271,582
1,458,271,583
2,472,9,543
2,472,9,544
2,472,9,545
2,472,10,545
2,472,10,546
3,514,107,1196
4,571,189,376
4,571,190,376
4,571,189,377
4,571,189,378
5,640,301,510
5,640,301,511
5,640,301,512
6,807,178,1249
6,807,178,1250
6,807,178,1251
7,849,112,1389
7,849,112,1390
7,849,112,1391
8,934,306,1253
8,934,306,1254
9,948,35,1256
9,948,36,1256
10,1075,207,1142
10,1075,207,1143
10,1075,207,1144
11,1174,228,672
11,1174,228,673
11,1174,228,674
12,1451,145,339
12,1451,145,340
12,1451,145,341
13,1493,103,583
13,1493,103,584
13,1493,104,584
13,1493,104,585
14,1662,88,1331
14,1662,89,1331
15,2015,112,431
15,2015,112,432
15,2015,112,433
16,2402,264,698
16,2402,264,699
16,2402,264,700
16,2402,264,701
17,2486,64,1048
17,2486,64,1049
17,2486,64,1050
18,2632,107,766
18,2632,107,767
18,2632,107,768
19,2726,192,1422
20,4134,195,83
21,4464,90,0
21,4464,90,1
22,4506,143,23
23,4527,88,28
23,4527,89,28
23,4527,90,28
24,4544,122,21
24,4544,123,21
24,4544,124,21
24,4544,122,22
25,4564,276,59
25,4564,277,59
25,4564,278,59
26,4606,59,51
26,4606,60,51
26,4606,61,51
27,4610,283,1
27,4610,284,1
28,4630,45,86
28,4630,46,86
29,4678,275,50
30,4699,0,50
31,5059,201,81
31,5059,201,82
32,5513,219,6
32,5513,219,7
33,5576,238,39
33,5576,239,39
34,5833,216,57
35,6384,67,23
35,6384,68,23
36,6981,218,72
36,6981,218,73
37,7087,294,26
37,7087,295,26
38,7108,24,30
38,7108,23,31
38,7108,24,31
39,7450,214,66
40,8191,58,74
40,8191,59,74
41,8996,257,31
42,9123,147,2
42,9123,147,3
43,9613,146,77
43,9613,147,77
44,11665,202,0
44,11665,203,0
44,11665,204,0
44,11665,205,0
45,12106,198,0
46,12107,203,0
47,13034,355,0
47,13034,356,0
48,13035,354,0
49,13077,6,0
50,13206,109,0
50,13206,110,0
51,13207,107,0
52,13812,122,0
53,13813,118,0
54,14884,175,0
55,14885,181,0
56,16078,248,0
57,16079,258,0
57,16079,259,0
58,16310,374,0
59,16352,54,0
60,16353,62,0
61,17090,222,0
62,17090,229,0
63,17091,233,0
64,17091,258,0

Event: 2
0,458,107,49
1,486,105,185
2,528,86,348
2,528,87,348
3,611,132,1178
3,611,132,1179
4,737,89,685
4,737,89,686
5,807,307,1370
6,835,36,1364
6,835,37,1364
7,878,302,201
8,892,31,202
8,892,32,202
9,962,265,537
10,1311,246,74
10,1311,246,75
10,1311,246,76
11,1465,90,1197
11,1465,91,1197
12,1550,221,223
13,1704,89,791
13,1704,90,791
13,1704,89,792
14,2206,287,767
14,2206,288,767
14,2206,288,768
15,2220,11,743
15,2220,11,744
15,2220,11,745
16,2417,332,996
16,2417,333,996
17,2431,57,990
18,2572,251,250
19,2796,330,1088
19,2796,330,1089
20,2810,200,864
20,2810,199,865
20,2810,200,865
20,2810,198,866
20,2810,199,866
20,2810,197,867
20,2810,198,867
20,2810,197,868
20,2810,196,869
20,2810,195,870
20,2810,194,871
20,2810,195,871
20,2810,193,872
20,2810,194,872
20,2810,192,873
20,2810,193,873
20,2810,191,874
20,2810,192,874
20,2810,191,875
20,2810,190,876
20,2810,189,877
20,2810,190,877
20,2810,188,878
20,2810,189,878
20,2810,187,879
20,2810,188,879
20,2810,186,880
20,2810,187,880
20,2810,185,881
20,2810,186,881
20,2810,185,882
20,2810,184,883
20,2810,183,884
20,2810,184,884
20,2810,182,885
20,2810,183,885
20,2810,181,886
20,2810,182,886
20,2810,180,887
20,2810,181,887
20,2810,180,888
20,2810,179,889
20,2810,180,889
20,2810,178,890
20,2810,179,890
20,2810,177,891
20,2810,178,891
20,2810,176,892
20,2810,177,892
20,2810,176,893
20,2810,175,894
20,2810,174,895
20,2810,175,895
20,2810,173,896
20,2810,174,896
20,2810,172,897
20,2810,173,897
20,2810,171,898
20,2810,172,898
20,2810,170,899
20,2810,171,899
20,2810,170,900
20,2810,169,901
20,2810,170,901
20,2810,168,902
20,2810,169,902
20,2810,167,903
20,2810,168,903
20,2810,166,904
20,2810,167,904
20,2810,166,905
20,2810,165,906
20,2810,164,907
20,2810,165,907
20,2810,163,908
20,2810,164,908
20,2810,162,909
20,2810,163,909
20,2810,161,910
20,2810,162,910
20,2810,160,911
20,2810,161,911
20,2810,160,912
20,2810,159,913
20,2810,160,913
20,2810,158,914
20,2810,157,915
20,2810,158,915
20,2810,156,916
20,2810,157,916
20,2810,155,917
20,2810,156,917
20,2810,155,918
20,2810,154,919
20,2810,153,920
20,2810,154,920
20,2810,152,921
20,2810,153,921
20,2810,151,922
20,2810,152,922
20,2810,151,923
20,2810,149,924
20,2810,150,924
20,2810,149,925
20,2810,148,926
20,2810,149,926
20,2810,147,927
20,2810,148,927
20,2810,146,928
20,2810,147,928
20,2810,145,929
20,2810,146,929
20,2810,144,930
20,2810,145,930
20,2810,144,931
20,2810,143,932
20,2810,142,933
20,2810,143,933
20,2810,141,934
20,2810,142,934
20,2810,140,935
