sp_x, sp_y, sp_z

Event: 0
-132.535,-109.285,-842.6
-113.69,-94.9729,-722.6
-98.1061,-82.8756,-622.6
-24.248,-21.5915,-137.843
19.6853,25.1723,-33.77
17.6007,26.8083,60.4516
18.377,28.0422,61.9988
-51.9211,-45.3073,-321.587
32.3752,-59.4608,-29.1356
33.0725,-60.8219,-30.4007
41.7111,54.7552,-103.003
36.6713,57.3092,98.7372
53.1542,-101.046,-67.5594
68.2218,92.209,-189.141
59.8579,96.6076,147.286
60.7693,98.1785,149.206
99.0599,138.808,-294.293
87.2867,146.45,207.787
76.5163,-151.509,-113.509
-494.031,-314.585,-2947.5
-422.855,-283.193,-2552.5
-361.73,-253.072,-2207.5
-298.987,-218.642,-1847.5
-247.385,-187.817,-1547.5
-206.058,-161.093,-1297.5
308.363,621.25,-1297.5
110.281,-234.243,-187.6
146.113,216.962,-467.8
126.393,225.681,302.1
165.677,317.881,408.2
142.795,-328.477,-269.8
192.157,304.282,-655.8
248.769,433.995,-923.7
211.734,453.486,561.1
179.282,-467.081,-387.8
249.652,612.466,736.1
205.873,-625.058,-520.3

Event: 1
-28.0634,-18.5973,-48.2836
-19.0953,-25.6353,-43.1192
-20.4736,-27.4559,-45.1217
20.9275,-25.0942,-12.425
-0.603585,32.1142,19.1785
-26.6917,-17.7272,-46.6721
-57.3413,-37.1297,-82.4064
-41.6821,-54.7699,-75.4469
43.9226,-51.5139,-9.575
44.8329,-52.5257,-9.475
-0.504304,68.1262,57.6954
0.885628,114.294,107.071
-97.2967,-61.1088,-128.323
-69.997,-89.4275,-114.77
-71.0758,-90.7081,-116.239
75.3602,-85.8756,-5.825
4.15338,169.833,166.628
-145.983,-88.3298,-183.288
-107.008,-132.224,-164.527
114.848,-126.462,-1.225
13.7192,257.927,260.8
-227.944,-129.21,-273.9
-171.518,-200.568,-247.6
-167.191,-196.18,-241.6
179.441,-187.097,6.6
30.9629,360.244,371.7
-320.485,-168.742,-373.5
-244.098,-268.744,-335.7
-239.805,-264.905,-330.3
257.637,-252.288,15
64.243,495.251,520.3
-455.394,-213.774,-514.3
-449.722,-212.163,-508.9
-350.705,-354.953,-456.8
371.377,-333.965,25.8
118.992,653.22,698.4
116.624,647.362,691.8
-612.703,-250.644,-675
-486.871,-445.949,-601.2
511.432,-416.307,39

Event: 2
-25.074,-20.9433,-69.775
-3.06981,-32.5571,-62.9873
28.6697,-16.1332,-54.825
-29.2812,13.9469,-85.762
-62.2311,28.831,-110.287
-51.4813,-43.9605,-76.175
-52.4847,-44.865,-76.425
-5.86639,-67.4456,-62.175
-5.94895,-68.9043,-62.125
59.3886,-32.5682,-45.3312
60.9568,-33.3874,-44.8575
-103.705,46.2344,-140.808
-105.196,46.8419,-141.921
-85.8008,-75.4266,-84.675
-8.45576,-113.359,-61.075
-8.53025,-115.216,-61.025
100.95,-53.4785,-32.675
-156.585,66.652,-179.464
-125.698,-114.354,-94.9418
-10.0346,-170.303,-59.675
151.531,-76.8858,-17.325
-239.989,94.8975,-239.8
-187.008,-179.562,-111.5
-8.52815,-258.711,-57.5
236.333,-111.512,7.8
-338.15,122.016,-310.5
-252.244,-257.697,-130.7
-1.11237,-359.832,-55.1
332.423,-144.366,36.6
-478.635,149.785,-408.2
-335.801,-374.335,-157.1
19.2384,-499.496,-52.2
469.952,-179.834,75.5
463.932,-178.572,73.1
-637.923,166.103,-519.1
-418.133,-514.262,-187.6
56.8538,-656.951,-48.6
626.421,-205.193,118.7

Event: 3
32.4554,-2.22592,37.6867
30.1254,11.6272,17.1836
2.22592,32.4554,38.7507
-31.7455,5.13505,0.767838
-32.8284,5.31922,-0.290707
68.8444,-5.45255,46.525
-67.1215,10.104,-31.5118
63.4096,25.3602,3.08387
67.4876,-5.31799,46.2035
5.33576,67.4862,48.375
5.47453,68.8471,48.7544
10.5558,113.357,60.9446
-113.353,15.5058,-73.5368
105.013,43.8399,-14.925
113.357,-10.5884,57.3965
18.6058,168.948,76.175
-168.273,20.2479,-123.15
-169.899,20.3812,-124.623
155.741,68.1441,-37.1326
169.841,-18.8994,71.2421
-262.081,24.0154,-207.4
234.243,110.281,-71.9
258.318,-35.883,93.5
35.8115,258.341,100.7
61.1905,358.407,128.3
59.5029,352.585,127.1
-362.846,21.2702,-333.986
-363.569,18.5762,-327.3
-362.363,23.0673,-317.7
-363.938,17.1999,-312.9
-362.647,22.0097,-298.02
-356.626,22.3215,-292.5
321.92,164.083,-112.7
358.599,-60.7019,111.5
358.27,-61.5395,118.7
358.407,-61.1905,118.7
352.585,-59.5029,117.5
104.308,488.321,166
-498.577,9.41804,-420.2
437.575,247.245,-169.6
430.136,250.066,-174.4
429.959,250.468,-170.457
431.583,246.77,-170.8
491.512,-105.031,154.1
486.201,-102.982,152.3
170.447,639.435,209.8
-663.194,-21.135,-570.7
-656.888,-19.6375,-564.7
559.048,352.341,-233.2
638.039,-165.826,190
637.083,-168.109,193.6

Event: 4
25.9394,20.2642,-18.125
-7.70217,31.2582,34.3814
-7.95029,32.1952,35.7406
-30.6126,9.1862,-57.9183
-31.8209,-3.03597,-30.4739
-64.6281,20.2599,-110.314
-66.3021,20.8146,-112.895
-67.3241,-7.15612,-52.1492
-68.8344,-7.32236,-53.0772
-67.9631,-9.98386,-50.809
52.9463,42.2528,-25.6134
54.3388,43.4099,-25.9825
-15.6861,66.0965,84.8339
-25.0234,111.74,150.505
-107.991,35.5435,-177.389
-113.378,-13.6663,-80.4382
82.6165,78.2523,-71.2624
84.0805,76.9532,-55.175
88.7013,72.8527,-35.7015
64.4603,94.1872,-62.425
60.8726,96.074,-46.0112
-34.3814,166.635,228.89
-161.008,55.9422,-260.501
-169.174,-23.1763,-114.994
130.26,110.305,-47.775
-45.8478,256.762,357.3
-241.802,91.276,-389
-256.79,-41.9479,-169.6
192.75,171.775,-67.1
-52.6734,358.204,499.9
-336.059,139.038,-543.1
-330.714,136.071,-534.7
-351.866,-68.1407,-229.6
260.523,246.47,-88.7
347.917,358.58,-118.7
-52.3967,496.125,693.6
-452.075,208.813,-740.9
-485.858,-115.451,-317.3
434.997,494.737,-153.5
-36.6332,661.64,926.7
-37.6108,655.842,918.4
-585.469,306.899,-983.1
-631.786,-182.231,-415.4

Event: 5
10.1541,119.859,-982.6
9.51304,120.663,-983.8
9.26357,116.675,-843.8
2.73199,128.623,-723.8
1.475,125.981,-623.8
12.4061,29.7121,-105.011
0.984909,32.3057,-184.096
-20.3259,25.8607,-153.531
-31.9998,-1.55239,-38.4617
-42.4426,52.7835,-222.272
-43.697,53.9731,-226.237
-67.8807,-2.53956,17.5493
25.6048,63.1334,-123.397
2.77196,68.5212,-291.284
41.5028,106.516,-147.032
6.00576,113.361,-424.14
6.14751,114.928,-428.797
-73.1366,88.3813,-315.007
-113.887,-2.48992,89.2285
59.0309,159.454,-175.625
-110.309,129.048,-423.748
-170.102,-0.702866,177.088
113.341,583.201,-1847.5
80.6744,490.454,-1557.5
56.7338,409.114,-1307.5
-454.998,407.342,-1292.5
-173.091,191.78,-598.8
-259.137,5.71015,315.9
83.4294,245.73,-221.2
77.1924,248.853,-218.8
82.96,245.965,-214
80.2774,247.308,-206.8
81.8869,246.502,-203.2
24.7304,261.855,-865
105.619,346.824,-274.9
-248.462,259.054,-796.7
-363.432,19.0833,479
-357.254,18.1687,469.4
125.01,486.758,-347.7
-364.246,347.961,-1082
-359.001,344.301,-1069.4
-497.025,46.0015,690.6
132.02,648.232,-432.2
-651.982,91.8668,942.3

Event: 6
32.4771,-2.40626,14.3267
20.6963,-25.3887,-26.125
31.5802,-5.72625,15.312
-14.1979,28.6783,-39.8306
-30.2332,10.5427,-39.025
-30.4393,9.80583,-0.588768
67.8553,10.3132,4.70873
-29.4791,61.091,-43.5984
